tract,Community_Name
195710,Echo Park
195720,Echo Park
197300,Echo Park
197410,Echo Park
197420,Echo Park
197500,Echo Park
197600,Echo Park
208000,Echo Park
208401,Echo Park
208402,Echo Park
208501,Echo Park
208502,Echo Park
980010,Echo Park
432300,El Monte
432401,El Monte
432402,El Monte
432500,El Monte
432601,El Monte
432602,El Monte
432700,El Monte
432801,El Monte
432802,El Monte
433101,El Monte
433102,El Monte
433200,El Monte
433302,El Monte
433304,El Monte
433305,El Monte
433306,El Monte
433307,El Monte
433401,El Monte
433402,El Monte
433403,El Monte
433901,El Monte
433902,El Monte
434001,El Monte
434003,El Monte
434004,El Monte
620001,El Segundo
620002,El Segundo
620101,El Segundo
620102,El Segundo
980013,El Segundo
980030,El Segundo
199110,El Sereno
201110,El Sereno
201120,El Sereno
201200,El Sereno
201301,El Sereno
201401,El Sereno
201402,El Sereno
201501,El Sereno
201503,El Sereno
201504,El Sereno
201601,El Sereno
201602,El Sereno
201700,El Sereno
187200,Elysian Valley
197200,Elysian Valley
139001,Encino
139200,Encino
139502,Encino
139503,Encino
139504,Encino
139600,Encino
139701,Encino
139702,Encino
139703,Encino
141400,Encino
141500,Encino
532700,Florence-Graham
532800,Florence-Graham
532900,Florence-Graham
533001,Florence-Graham
533002,Florence-Graham
534900,Florence-Graham
535001,Florence-Graham
535002,Florence-Graham
535101,Florence-Graham
535102,Florence-Graham
535200,Florence-Graham
535300,Florence-Graham
535400,Florence-Graham
102107,Foothill Trails
103200,Foothill Trails
103300,Foothill Trails
104103,Foothill Trails
104204,Foothill Trails
980020,Foothill Trails
602600,Gardena
602900,Gardena
603001,Gardena
603004,Gardena
603005,Gardena
603006,Gardena
603101,Gardena
603102,Gardena
603200,Gardena
603301,Gardena
603302,Gardena
603400,Gardena
603500,Gardena
603600,Gardena
186100,Glassell Park
186301,Glassell Park
186302,Glassell Park
186401,Glassell Park
186403,Glassell Park
186404,Glassell Park
400402,Glendora
400404,Glendora
400501,Glendora
400800,Glendora
400900,Glendora
401001,Glendora
401002,Glendora
401101,Glendora
401102,Glendora
401201,Glendora
401202,Glendora
401203,Glendora
403901,Glendora
403902,Glendora
106603,Granada Hills
106641,Granada Hills
106642,Granada Hills
106643,Granada Hills
106645,Granada Hills
106646,Granada Hills
109200,Granada Hills
109300,Granada Hills
109700,Granada Hills
111100,Granada Hills
111201,Granada Hills
111202,Granada Hills
111301,Granada Hills
111400,Granada Hills
980022,Granada Hills
240010,Green Meadows
240020,Green Meadows
240200,Green Meadows
240500,Green Meadows
240600,Green Meadows
240700,Green Meadows
240800,Green Meadows
240900,Green Meadows
241001,Green Meadows
241002,Green Meadows
241110,Green Meadows
241120,Green Meadows
241202,Green Meadows
241400,Green Meadows
408401,Hacienda Heights
408402,Hacienda Heights
408501,Hacienda Heights
408503,Hacienda Heights
